driver_id,name,email,phone,registration_date,vehicle_type,license_plate,city,rating,is_active
DRV000001,Brittany Patterson,brittany13@yahoo.com,+1-408-342-2679,2026-02-05,Van,XCK1488,Mission District,3.72,True
DRV000002,Martha Dotson,martha.d@yahoo.com,+1-831-425-8359,2026-04-20,Luxury,VAU7924,Castro,4.27,True
DRV000003,Sharon Underwood,sharon.underwood@outlook.com,+1-510-567-6635,2025-06-13,Sedan,USN7201,Mission District,4.4,True
DRV000004,Bruce Horne,bruce.h@yahoo.com,+1-510-246-4733,2026-01-19,Sedan,ZWW7227,Pacific Heights,3.85,True
DRV000005,Janet Hunt,janet57@yahoo.com,+1-925-918-2169,2026-01-11,Economy,ESE7216,Pacific Heights,4.8,False
DRV000006,Brittany Barron,brittany38@gmail.com,+1-408-232-6168,2025-11-13,Sedan,2FYW422,Marina,4.29,True
DRV000007,Diane Acevedo,dianeacevedo@hotmail.com,+1-650-452-9830,2026-04-07,SUV,7XKF241,Chinatown,4.8,True
DRV000008,Ashley Gomez,ashleygomez@aol.com,+1-650-896-7916,2025-12-09,Sedan,KPM5119,Chinatown,4.36,False
DRV000009,John Graham,john.g@hotmail.com,+1-707-314-5808,2026-04-22,Sedan,8ASS612,San Jose,4.3,True
DRV000010,Margaret Waller,margaret.w@icloud.com,+1-408-356-7126,2026-03-02,SUV,OUN1009,Financial District,4.5,True
DRV000011,Robert Patterson,robert56@yahoo.com,+1-415-446-2290,2025-08-07,Sedan,8VZN228,SOMA,4.1,True
DRV000012,Austin Palmer,austin.p@icloud.com,+1-831-416-9835,2026-02-10,Sedan,RSK7118,North Beach,3.9,False
DRV000013,Evelyn Cole,evelyncole@gmail.com,+1-707-221-4770,2026-02-22,Sedan,ASB2104,Mountain View,3.85,True
DRV000014,Frank Howard,frankhoward@hotmail.com,+1-209-419-9834,2026-04-08,Economy,8GMK196,Mission District,3.63,True
DRV000015,Alexander Keith,akeith@aol.com,+1-415-889-2612,2025-12-18,SUV,6UCE649,North Beach,4.43,True
DRV000016,George Waters,georgewaters@gmail.com,+1-209-763-2604,2025-02-26,Sedan,9VZY969,Marina,4.68,True
DRV000017,Walter Orr,worr@gmail.com,+1-650-588-1035,2026-02-28,Sedan,GUL7930,Berkeley,4.33,False
DRV000018,Carl Osborn,carlosborn@yahoo.com,+1-925-422-1958,2025-03-25,SUV,OTB8811,Chinatown,4.29,False
DRV000019,Sara Shaw,sara.s@gmail.com,+1-650-270-2113,2025-06-28,Luxury,GDX5033,Financial District,4.39,True
DRV000020,Joe Bennett,joe.b@icloud.com,+1-707-467-4346,2026-04-08,Sedan,IGD5915,North Beach,4.05,True
DRV000021,Bobby Kim,bkim@icloud.com,+1-510-275-9808,2026-02-08,Van,5DJB350,Castro,3.72,True
DRV000022,Nathan Bauer,nathan.b@aol.com,+1-415-883-5905,2025-11-12,SUV,CWG2753,Berkeley,4.1,True
DRV000023,Anna Schwartz,annaschwartz@aol.com,+1-707-408-5325,2024-03-28,Sedan,GXB7939,Palo Alto,4.2,True
DRV000024,James Wilkins,james26@yahoo.com,+1-209-764-8007,2026-02-07,SUV,CYR3442,Chinatown,3.38,True
DRV000025,Jack Dudley,jackdudley@outlook.com,+1-650-242-6050,2026-02-20,Sedan,1XFG205,Castro,4.51,True
DRV000026,Jose Hebert,josehebert@yahoo.com,+1-650-622-1406,2025-12-22,Sedan,6UKR852,San Jose,3.73,True
DRV000027,Kenneth Vasquez,kenneth.vasquez@outlook.com,+1-408-404-8541,2024-12-20,Sedan,4FRK385,Palo Alto,4.26,True
DRV000028,Cynthia Waters,cynthia.w@outlook.com,+1-707-228-2889,2026-03-08,Economy,GPZ1626,Mission District,3.7,True
DRV000029,Raymond Patrick,raymond.p@icloud.com,+1-510-594-4114,2026-04-13,Luxury,7AYN836,Berkeley,3.98,True
DRV000030,Ronald Vazquez,ronald.vazquez@aol.com,+1-707-838-6143,2025-09-09,Luxury,DXN7691,Castro,4.18,True
DRV000031,Emma Weeks,emmaweeks@outlook.com,+1-831-893-3851,2026-03-30,Luxury,HOA5700,Marina,4.62,True
DRV000032,Dylan Richmond,dylan93@outlook.com,+1-209-652-4501,2025-12-08,Economy,UYT2389,Pacific Heights,3.58,True
DRV000033,Gabriel Shepard,gabriel.shepard@yahoo.com,+1-925-430-4262,2026-02-19,Economy,1GMW174,North Beach,4.3,True
DRV000034,Rose Woodward,rwoodward@outlook.com,+1-831-449-3417,2026-04-13,Sedan,ATU2746,San Jose,4.48,True
DRV000035,Amanda Gentry,amanda.gentry@icloud.com,+1-408-324-8478,2025-03-26,SUV,8RZP873,Mountain View,3.56,True
DRV000036,Vincent Hurst,vincent.h@outlook.com,+1-650-961-8777,2026-03-22,Economy,4VHU596,Oakland,3.73,True
DRV000037,Nathan Brooks,nathanbrooks@hotmail.com,+1-707-527-9849,2025-02-11,Sedan,3GSS165,Haight-Ashbury,4.41,True
DRV000038,Sean Callahan,sean.callahan@yahoo.com,+1-831-598-1320,2026-02-27,Sedan,TJA6763,Pacific Heights,3.73,True
DRV000039,Victoria Landry,victoria.l@yahoo.com,+1-209-424-5471,2024-12-21,Economy,1KRU841,SOMA,3.98,False
DRV000040,Steven Cardenas,steven.cardenas@outlook.com,+1-415-285-8022,2026-04-03,SUV,8EGI565,Castro,4.11,True
DRV000041,Maria Simon,maria63@gmail.com,+1-209-219-9837,2026-02-09,Sedan,6FBY141,San Jose,4.17,True
DRV000042,Amy Hart,amy.h@yahoo.com,+1-408-329-8758,2025-12-23,SUV,OFS7043,SOMA,3.89,True
